Number of Nodes,Brushfire mean,Standard deviation of Brushfire,NNs mean,Mean distance,Mean minimun distance,Class
2.0,7.025,0.025,1.5,0.7516648189186454,0.7516648189186454,0.0
6.0,3.6333333333333337,0.7003967129816898,2.6666666666666665,1.3536546094917465,0.10059223176554564,0.0
2.0,7.4750000000000005,0.025,1.5,0.8015609770940701,0.8015609770940701,0.0
3.0,11.0,1.4142135623730954,1.6666666666666667,5.21600529769904,3.0985207768480074,0.0
5.0,3.66,0.7158212067269313,2.2,1.1918850115773836,0.610150360523163,0.0
2.0,6.3500000000000005,5.15,1.5,15.517248467431333,14.153250884271584,0.0
3.0,7.2666666666666675,0.023570226039551584,1.6666666666666667,2.8668615984398613,1.4500980358235607,0.0
2.0,9.025,0.025,1.5,2.350531854708632,2.350531854708632,0.0
2.0,7.775,0.025,1.5,1.051189802081432,1.051189802081432,0.0
3.0,7.483333333333333,8.532421826317673,1.6666666666666667,19.124092594707943,9.473569323792235,0.0
5.0,5.25,0.07071067811865477,2.0,19.450279361362377,8.910129239141355,1.0
20.0,11.1475,5.545008453555325,2.7,18.55074496079286,1.9762145067961177,0.0
10.0,7.455,4.986404014918968,2.0,17.918676339633965,2.75871520411103,0.0
3.0,12.516666666666666,7.931407329233711,1.6666666666666667,15.66901008219924,0.9349801724124808,0.0
15.0,8.503333333333334,1.9893438337524483,1.9333333333333331,11.076606125437841,2.230840125657131,0.0
5.0,6.41,4.024102384383379,2.4,7.901597832399595,3.604886039310212,0.0
2.0,8.4,4.1000000000000005,1.5,15.821267332296742,15.821267332296742,0.0
9.0,2.8111111111111113,0.7298317073049474,2.333333333333333,14.53286301448114,2.8480533364571166,1.0
6.0,10.041666666666666,3.3300921742331533,2.1666666666666665,5.695763254055544,2.2690842047337645,0.0
6.0,5.8083333333333345,1.8910792039350324,2.1666666666666665,4.936652654206783,1.2437464926948858,0.0
10.0,7.315000000000001,5.1973575016540865,2.1,17.03169417378645,2.1704298186806423,0.0
6.0,2.2833333333333328,1.1201438399697705,2.1666666666666665,11.050759867499455,2.7586171285186887,1.0
7.0,10.142857142857144,3.3382446811191673,2.142857142857143,8.105627875538694,1.5175218518049407,0.0
