Number of Nodes,Brushfire mean,Standard deviation of Brushfire,NNs mean,Mean distance,Mean minimun distance,Class
1.0,246.0,0.0,1.0,313.7530876342096,313.7530876342096,0.0
2.0,224.0,0.0,1.5,25.0,25.0,0.0
5.0,180.2,83.61913656574073,1.8,156.31591435637492,73.07783779931516,0.0
7.0,139.0,84.0340067217688,1.8571428571428572,293.6689823096061,65.40282197457648,0.0
8.0,253.125,0.7806247497997998,2.0,416.1837395626612,104.38686494285744,0.0
2.0,240.0,0.0,1.5,75.0066663703967,75.0066663703967,0.0
1.0,318.0,0.0,2.0,367.0871831050493,367.0871831050493,0.0
5.0,185.4,0.4898979485566356,2.0,210.8022358225553,51.604714112802846,0.0
1.0,231.0,0.0,1.0,116.00431026474836,116.00431026474836,0.0
4.0,202.5,64.95575417158976,1.75,130.82032240902484,70.29936436336209,0.0
13.0,83.38461538461539,24.515422026956077,2.3076923076923075,276.1374781197323,51.68371886672673,1.0
4.0,70.25,82.33885777687227,1.75,311.45773065464147,167.64905758040067,0.0
6.0,207.33333333333334,90.48695424694594,2.6666666666666665,129.4507370498762,65.17006139671703,0.0
4.0,110.25,0.82915619758885,2.5,38.41059908039013,21.11056459164435,1.0
5.0,55.0,17.401149387324963,1.8,45.19078512257014,9.835262173955838,0.0
8.0,102.625,4.151430476353903,2.625,149.79485132586333,38.83971499037433,1.0
2.0,140.5,0.5,1.5,15.033296378372908,15.033296378372908,0.0
6.0,72.66666666666667,14.007934259633798,2.6666666666666665,27.073092189834934,2.0118446353109127,0.0
2.0,149.5,0.5,1.5,16.0312195418814,16.0312195418814,0.0
3.0,220.0,28.284271247461902,1.6666666666666667,104.32010595398079,61.97041553696014,0.0
5.0,73.2,14.316424134538623,2.2,23.83770023154767,12.203007210463259,0.0
2.0,127.0,103.0,1.5,310.34496934862665,283.0650176854317,0.0
3.0,145.33333333333334,0.4714045207910317,1.6666666666666667,57.337231968797234,29.001960716471213,0.0
2.0,180.5,0.5,1.5,47.01063709417264,47.01063709417264,0.0
2.0,155.5,0.5,1.5,21.02379604162864,21.02379604162864,0.0
3.0,149.66666666666666,170.64843652635346,1.6666666666666667,382.48185189415875,189.4713864758447,0.0
5.0,105.0,1.4142135623730951,2.0,389.0055872272475,178.20258478282707,1.0
20.0,222.95,110.90016907110648,2.7,371.0148992158572,39.52429013592234,0.0
10.0,149.1,99.72808029837934,2.0,358.37352679267934,55.17430408222059,0.0
3.0,250.33333333333334,158.6281465846742,1.6666666666666667,313.3802016439848,18.699603448249615,0.0
15.0,170.06666666666666,39.786876675048966,1.9333333333333333,221.5321225087568,44.616802513142616,0.0
5.0,128.2,80.48204768766759,2.4,158.0319566479919,72.09772078620423,0.0
2.0,168.0,82.0,1.5,316.4253466459348,316.4253466459348,0.0
9.0,56.22222222222222,14.596634146098948,2.3333333333333335,290.65726028962285,56.96106672914232,1.0
6.0,200.83333333333334,66.60184348466306,2.1666666666666665,113.91526508111087,45.38168409467528,0.0
6.0,116.16666666666667,37.821584078700646,2.1666666666666665,98.73305308413566,24.874929853897715,0.0
10.0,146.3,103.94715003308171,2.1,340.633883475729,43.40859637361284,0.0
6.0,45.666666666666664,22.402876799395404,2.1666666666666665,221.01519734998908,55.172342570373765,1.0
7.0,202.85714285714286,66.76489362238334,2.142857142857143,162.11255751077388,30.35043703609881,0.0
2.0,247.5,1.5,1.5,77.10382610480494,77.10382610480494,0.0
19.0,141.8421052631579,61.70751311238556,2.263157894736842,310.62710837530017,28.494469056257667,0.0
2.0,149.5,0.5,1.5,100.00499987500625,100.00499987500625,0.0
3.0,147.33333333333334,48.55466564147626,1.6666666666666667,118.63489569288647,59.681730656954585,0.0
2.0,119.0,0.0,1.5,93.00537618869137,93.00537618869137,0.0
17.0,178.35294117647058,41.04508450396608,2.9411764705882355,326.867351060375,25.31088362812451,0.0
7.0,197.71428571428572,31.138925046655423,2.142857142857143,79.42444918259491,4.7252585172586565,0.0
4.0,120.25,50.25124376570196,1.75,145.40576602946334,26.504807247891687,0.0
